Title,Description,Techstack
Quantum Resistant Encryption System,"Developed a secure web application implementing the Kyber post-quantum cryptographic algorithm to protect data against future quantum computing attacks. Built encryption and decryption workflows with a Flask-based interface, enabling secure and quantum-safe communication.","Flask, Python, Kyber, Post-Quantum Cryptography, Encryption"
Unified Security Scanner,"Built an all-in-one cybersecurity platform integrating malware analysis, web vulnerability scanning, and network scanning capabilities. Implemented real-time threat detection and reporting features to identify and mitigate security risks efficiently.","Python, Flask, Cybersecurity, Network Scanning, Malware Analysis"
AR-Based E-Learning Platform,"Developed an interactive educational platform using Augmented Reality and 3D models to enhance student learning experiences. Enabled immersive visualization of educational content, improving engagement and knowledge retention.","Augmented Reality, 3D Modeling, Unity, Python"
Serverless Cloud Application,"Designed and deployed cloud-native serverless applications using AWS Lambda. Built scalable backend services with reduced latency and improved resource efficiency while leveraging modern cloud technologies.","AWS Lambda, AWS Bedrock, Azure Databricks, Python"
Malware Detection Tool,"Developed an automated malware detection system capable of analyzing files and identifying malicious behavior patterns. Improved threat detection accuracy through custom analysis techniques and security-focused automation.","Python, Cybersecurity, OpenSSL, Malware Analysis"
Weather Forecast Application,"Built a weather forecasting web application that fetches real-time weather information using external APIs. Designed a responsive interface and implemented dynamic weather updates for users.","Python, Flask, OpenWeather API, HTML/CSS"
Note-ify Smart Notes Application,"Developed a multi-user note-taking application inspired by Obsidian. Implemented authentication, personalized note management, and database-backed storage with a modern user interface.","Flask, Python, MySQL, Authentication, HTML/CSS"
To-Do List Management System,"Created a task management web application allowing users to organize, update, and track daily activities. Integrated database storage and user-friendly task management features.","Flask, Python, MySQL, HTML/CSS"
CyberShield Security Platform,"Developed a cybersecurity web platform featuring malware analysis, network scanning, and web vulnerability assessment modules. Designed to evolve into a practical security assessment solution.","Python, Flask, Cybersecurity, Network Security"
REST API Management System,"Created scalable backend services with optimized database integration and RESTful APIs. Improved application performance and data retrieval speed through efficient API design and MySQL optimization.","Python, Flask, Django, MySQL, REST API"
